,Stock Ticker,Date,Finding_Type,Discription
0,BERGEPAINT.NSE,2019-04-05,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 330 Close Price : 330.2 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 331.45 Previous Day Price : 330.2 $$ 5. Second/Doji Candle Gap down  , Price : 330.2 Previous Day Close Price : 330.45"
1,CROMPTON.NSE,2019-04-05,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 232.9 Close Day 2 Price : 232.95 $$ 4. Uptrend confirmed"
2,GAIL.NSE,2019-04-05,BULLISH_HARAMI," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap up  , Open Price : 348.75 Previous Day Close Price : 345.9 $$ 4. HARAMI PATTERN FOUND , Previous Open Price : 354.7 Day High Price : 351.55 $$ 4. HARAMI PATTERN FOUND , Previous Close Price : 345.9 Day Low Price : 346.65 $$ 5. Downtrend confirmed"
3,GRUH.NSE,2019-04-05,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 283 Close Day 2 Price : 282.9"
4,HINDALCO.NSE,2019-04-05,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 210.5 Close Day 2 Price : 210.45"
5,HINDPETRO.NSE,2019-04-05,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 260.15 Close Day 2 Price : 260.2 $$ 4. Downtrend confirmed"
6,HUDCO.NSE,2019-04-05,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 44.7 Close Day 2 Price : 44.7 $$ 4. Downtrend confirmed"
7,INFRATEL.NSE,2019-04-05,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 316.65 Close Day 2 Price : 316.85"
8,JUBLFOOD.NSE,2019-04-05,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 1437 Close Day 2 Price : 1436.45 $$ 4. Uptrend confirmed"
9,LT.NSE,2019-04-05,GRAVESTONE_DOJI," $$ 1. DOJI Found , Open Price : 1373.75 Close Price : 1373.8 $$ 2. Small or no lower shadow  , Open Price : 1373.75 low Price : 1370.3 $$ 3. Long Upper Shadow   , Close Price : 1373.8 High Price : 1392.75"
10,MINDTREE.NSE,2019-04-05,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 943 Close Price : 943.55 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 944.4 Previous Day Price : 943.55 $$ 5. Second/Doji Candle Gap down  , Price : 943.55 Previous Day Close Price : 943.8"
11,OIL.NSE,2019-04-05,BULLISH_HARAMI," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap up  , Open Price : 178.5 Previous Day Close Price : 178.05 $$ 4. HARAMI PATTERN FOUND , Previous Open Price : 182.8 Day High Price : 180.25 $$ 4. HARAMI PATTERN FOUND , Previous Close Price : 178.05 Day Low Price : 178.2"
12,ONGC.NSE,2019-04-05,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 155.25 Close Price : 154.35 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 156 Previous Day Price : 155.25 $$ 5. Second/Doji Candle Gap down  , Price : 155.25 Previous Day Close Price : 155.45"
13,PFIZER.NSE,2019-04-05,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 3236 Close Price : 3245.75 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 3250 Previous Day Price : 3245.75 $$ 5. Second/Doji Candle Gap down  , Price : 3245.75 Previous Day Close Price : 3275.25"
14,STRTECH.NSE,2019-04-05,BULLISH_HARAMI," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap up  , Open Price : 217.9 Previous Day Close Price : 216.25 $$ 4. HARAMI PATTERN FOUND , Previous Open Price : 220 Day High Price : 219.45 $$ 4. HARAMI PATTERN FOUND , Previous Close Price : 216.25 Day Low Price : 217 $$ 5. Downtrend confirmed"
15,TATASTEEL.NSE,2019-04-05,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 531.2 Close Day 2 Price : 531.35"
16,TCS.NSE,2019-04-05,BULLISH_HARAMI," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap up  , Open Price : 2028.65 Previous Day Close Price : 2015 $$ 4. HARAMI PATTERN FOUND , Previous Open Price : 2078.15 Day High Price : 2054.4 $$ 4. HARAMI PATTERN FOUND , Previous Close Price : 2015 Day Low Price : 2018.8"
